SampleID	TERT	Tissue	Tissues	Description	EXTEND
GTEX-11DXW-1026-SM-5H11K	0	Brain	Brain_Cerebellum	Brain_Cerebellum	0.609992895
GTEX-11DXW-1126-SM-5H12Q	0.04832	Brain	Brain_Cortex	Brain_Cortex	0.462254076
GTEX-11DXW-1226-SM-5H133	0.04322	Pituitary	Pituitary	Pituitary	0.45270203
GTEX-11DXX-0005-SM-5NQ8B	0	Blood	WholeBlood	WholeBlood	0.180771457
GTEX-11DXX-0008-SM-5Q5B8	0	Skin	Skin_Trans_Fibroblast	Skin_Trans_Fibroblast	0.655257277
GTEX-11DXX-0126-SM-5EGH7	0	Adrenal Gland	Adrenal_GD	Adrenal_GD	0.428818149
GTEX-11DXX-0226-SM-5P9HL	0	Thyroid	Thyroid	Thyroid	0.360908033
GTEX-11DXX-0326-SM-5PNWC	0	Heart	Heart_LV	Heart_LeftVentricle	0.298684612
GTEX-11DXX-0426-SM-5EQ5F	0	Blood Vessel	ArteryAorta	ArteryAorta	0.422893875
GTEX-11DXX-0526-SM-5PNVR	0	Heart	Heart_AA	Heart_AtrialAppendage	0.463103591
GTEX-11DXX-0626-SM-5Q5AG	0.0256	Lung	Lung	Lung	0.385376519
GTEX-11DXX-0726-SM-5H12X	0.2782	Spleen	Spleen	Spleen	0.502287249
GTEX-11DXX-0826-SM-5GZZP	0	Blood Vessel	ArteryCoronary	ArteryCoronary	0.248676502
GTEX-11DXX-0926-SM-5H112	0	Pancreas	Pancreas	Pancreas	0.290220526
GTEX-11DXX-1026-SM-5H11E	0	Esophagus	Esophagus_Muscularis	Esophagus_Muscularis	0.558474001
GTEX-11DXX-1126-SM-5GZZK	0.3909	Esophagus	Esophagus_Mucosa	Esophagus_Mucosa	0.778974083
GTEX-11DXX-1226-SM-5GICD	0.009503	Esophagus	Esophagus_GEJ	Esophagus_GastroesophagealJunction	0.585403923
GTEX-11DXX-1326-SM-5GIDZ	0.5143	Stomach	Stomach	Stomach	0.602870033
GTEX-11DXX-1426-SM-5GIDU	0.02566	Ovary	Ovary	Ovary	0.577861897
GTEX-11DXX-1526-SM-5H115	0	Uterus	Uterus	Uterus	0.517397452
GTEX-11DXX-1626-SM-5H11H	0.7341	Small Intestine	Small_Intestine	Small_Intestine	0.523747126
GTEX-11DXX-1726-SM-5H11T	0.06552	Vagina	Vagina	Vagina	0.605935617
GTEX-11DXX-1826-SM-5H126	0.4842	Colon	Colon_Transverse	Colon_Transverse	0.577316693
GTEX-11DXX-1926-SM-5EGJK	0	Colon	Colon_Sigmoid	Colon_Sigmoid	0.571073086
GTEX-11DXX-2026-SM-5EGJL	0	Adipose Tissue	AdiposeVisceral	AdiposeVisceral	0.504706077
GTEX-11DXX-2126-SM-5PNYR	0.1171	Skin	Skin_NotSunExposed	Skin_NotSunExposed	0.532175097
GTEX-11DXX-2326-SM-5Q5A2	0	Adipose Tissue	AdiposeSC	AdiposeSubcutaneous	0.321880283
GTEX-11DXX-2426-SM-5GZZW	0.1089	Skin	Skin_SunExposed	Skin_SunExposed	0.512517906
GTEX-11DXX-2526-SM-5H119	0.01921	Nerve	NerveTibial	Nerve_Tibial	0.597662484
GTEX-11DXX-2626-SM-5Q5A3	0	Blood Vessel	ArteryTibial	ArteryTibial	0.557599833
GTEX-11DXX-2726-SM-5PNXO	0	Muscle	MuscleSkeletal	Muscle_Skeletal	0.426079881
GTEX-11DXY-0006-SM-5NQ8N	0	Blood	WholeBlood	WholeBlood	0.611962313
